tahun;direktorat_id;nama_direktorat;kode_kegiatan;nama_kegiatan;kode_rincian_output;nama_rincian_output;jenis_output;komoditas_id;nama_komoditas;satuan_id;nama_satuan;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;jumlah_output;_raw_kegiatan_word;_raw_komoditas_nama;_raw_satuan_nama;;id_direktorat;nama_direktorat;;kode_rincian_output;kode_kegiatan;nama_kegiatan;nama_rincian_output;jenis_output;id_direktorat;;id_komoditas;nama;kd_kom;;id_satuan;nama_satuan;;key_kegiatan_komoditas;kode_rincian_output
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;33;Jawa Tengah;3315;Grobogan;50;Kawasan;Durian;Ha;;;;;5886.RAI.015;5886;Peningkatan Produksi Buah dan Florikultura;Kawasan Anggur;luas kawasan;5;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;33;Jawa Tengah;3318;Pati;20;Kawasan;Durian;Ha;;;;;5886.RAI.016;5886;Peningkatan Produksi Buah dan Florikultura;Kawasan Jeruk;luas kawasan;5;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;35;Jawa Timur;3507;Malang;70;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;35;Jawa Timur;3521;Ngawi;50;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;18;Lampung;1801;Lampung Selatan;20;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;18;Lampung;1806;Tanggamus;10;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;53;Nusa Tenggara Timur;5314;Rote Ndao;20;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;53;Nusa Tenggara Timur;5302;Timor Tengah Selatan;20;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;14;Riau;1472;Kota Dumai;10;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;14;Riau;1406;Rokan Hulu;10;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
