tahun;kegiatan;komoditas;kode_provinsi;kode_kabupaten;kode_kecamatan;kode_desa;nama_provinsi;nama_kabupaten;nama_kecamatan;nama_desa;kelompok tani;jenis_output;satuan_output;realisasi_output
2026;Pekarangan Pangan Bergizi;P2B;13;1302;130210;1302102002;Sumatera Barat;Solok;Kubung;Selayo;KWT Bundo Saiyo;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;13;1302;130210;1302102005;Sumatera Barat;Solok;Kubung;Gantung Ciri;Mega Fitrah;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;13;1302;130210;1302102007;Sumatera Barat;Solok;Kubung;Koto Hilalang;KWT Mau Maju;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;16;1601;160130;1601302006;Sumatera Selatan;Ogan Komering Ulu;Lubuk Raja;Batu Raden;KWT Kemuning;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;16;1601;160130;1601302005;Sumatera Selatan;Ogan Komering Ulu;Lubuk Raja;Marta Jaya;Delima Indah;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;16;1601;160113;1601132006;Sumatera Selatan;Ogan Komering Ulu;Baturaja Barat;Pusar;KWT Cempaka Indah;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;16;1601;160114;1601141012;Sumatera Selatan;Ogan Komering Ulu;Baturaja Timur;Sepancar Lawang Kulon;KWT Bersama Maju;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;16;1601;160130;1601302003;Sumatera Selatan;Ogan Komering Ulu;Lubuk Raja;Lekis Rejo;Karya Tani;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3207;320730;3207302011;Jawa Barat;Ciamis;Cisaga;Karyamulya;KWT Tunas Lestari;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3207;320708;3207082001;Jawa Barat;Ciamis;Panjalu;Panjalu;KWT Langensari;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3207;320713;3207132001;Jawa Barat;Ciamis;Rajadesa;Rajadesa;KWT Arum Sari I;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3207;320716;3207162003;Jawa Barat;Ciamis;Tambaksari;Kaso;KWT Dahlia;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3207;320706;3207062006;Jawa Barat;Ciamis;Cihaurbeuti;Sumberjaya;KWT Campaka Jaya;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3211;321116;3211162004;Jawa Barat;Sumedang;Rancakalong;Sukahayu;KWT Kemuning;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3211;321123;3211232002;Jawa Barat;Sumedang;Cisarua;Ciuyah;KWT Mekar Jaya Ciuyah;Kelompok;Kelompok;1
